Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
12 - 27 (Gen Z),Stay,Travel_Rarely,200 - 299 ($),Sales,10-14 km,Bachelor,Marketing,Very High,Female,90 - 100 ($),Medium,Junior Level,Sales Executive,Very High,Married,5000 - 5999 ($),6000 - 7999 ($),0-1,Yes,11%,Excellent,Very High,0%,6-10 years,3,Better,6-10 years,2-5 years,2-5 years,2-5 years
28 - 43 (Millennials),Stay,Travel_Rarely,300 - 399 ($),Research & Development,0-4 km,Bachelor,Life Sciences,Very High,Male,40 - 49 ($),High,Entry Level,Research Scientist,Very High,Single,3000 - 3999 ($),4000 - 5999 ($),2-3,Yes,11%,Excellent,High,0%,6-10 years,3,Better,2-5 years,2-5 years,0-1 years,2-5 years
44 - 59 (Gen X),Stay,Travel_Frequently,500 - 599 ($),Sales,0-4 km,Bachelor,Marketing,Medium,Male,50 - 59 ($),High,Mid Level,Sales Executive,Medium,Married,10000 - 10999 ($),14000 - 15999 ($),2-3,No,11%,Excellent,Medium,0%,10-20 years,5,Better,2-5 years,2-5 years,2-5 years,2-5 years
28 - 43 (Millennials),Stay,Travel_Rarely,800 - 899 ($),Research & Development,0-4 km,Bachelor,Medical,High,Male,60 - 69 ($),High,Entry Level,Research Scientist,High,Divorced,2000 - 2999 ($),8000 - 9999 ($),2-3,No,14%,Excellent,High,1%,6-10 years,3,Best,2-5 years,0-1 years,0-1 years,2-5 years
28 - 43 (Millennials),Stay,Travel_Rarely,1400 - 1499 ($),Research & Development,5-9 km,Below College,Medical,Medium,Female,50 - 59 ($),High,Entry Level,Laboratory Technician,Very High,Married,3000 - 3999 ($),26000 - 27999 ($),0-1,No,13%,Excellent,Low,1%,6-10 years,5,Better,6-10 years,6-10 years,0-1 years,6-10 years
28 - 43 (Millennials),Stay,Travel_Rarely,600 - 699 ($),Sales,10-14 km,Master,Marketing,Low,Male,60 - 69 ($),Medium,Mid Level,Sales Executive,Medium,Divorced,9000 - 9999 ($),20000 - 21999 ($),2-3,No,12%,Excellent,Medium,1%,10-20 years,2,Good,0-1 years,0-1 years,0-1 years,0-1 years
44 - 59 (Gen X),Stay,Travel_Rarely,900 - 999 ($),Research & Development,0-4 km,Bachelor,Technical Degree,Low,Female,50 - 59 ($),High,Mid Level,Manager,High,Married,13000 - 13999 ($),22000 - 23999 ($),2-3,No,11%,Excellent,Very High,0%,10-20 years,2,Better,2-5 years,2-5 years,2-5 years,2-5 years
28 - 43 (Millennials),Stay,Travel_Frequently,600 - 699 ($),Research & Development,10-14 km,Master,Technical Degree,Very High,Male,90 - 100 ($),Medium,Junior Level,Healthcare Representative,High,Married,5000 - 5999 ($),14000 - 15999 ($),0-1,No,14%,Excellent,Medium,1%,6-10 years,3,Good,6-10 years,2-5 years,6-10 years,6-10 years
28 - 43 (Millennials),Stay,Travel_Rarely,300 - 399 ($),Research & Development,0-4 km,Bachelor,Life Sciences,High,Female,40 - 49 ($),Low,Junior Level,Manufacturing Director,Very High,Single,6000 - 6999 ($),24000 - 25999 ($),2-3,No,20%,Outstanding,High,0%,10-20 years,2,Better,2-5 years,2-5 years,0-1 years,2-5 years
44 - 59 (Gen X),Stay,Travel_Frequently,1000 - 1099 ($),Sales,0-4 km,Bachelor,Medical,Very High,Male,60 - 69 ($),Medium,Junior Level,Sales Executive,Medium,Married,5000 - 5999 ($),12000 - 13999 ($),2-3,No,14%,Excellent,Very High,0%,10-20 years,3,Good,6-10 years,6-10 years,0-1 years,6-10 years
28 - 43 (Millennials),Stay,Travel_Rarely,200 - 299 ($),Research & Development,15-19 km,Bachelor,Technical Degree,Very High,Male,30 - 39 ($),High,Junior Level,Manufacturing Director,Very High,Divorced,4000 - 4999 ($),22000 - 23999 ($),2-3,No,12%,Excellent,Medium,2%,6-10 years,2,Best,2-5 years,2-5 years,0-1 years,2-5 years
28 - 43 (Millennials),Stay,Travel_Rarely,600 - 699 ($),Sales,0-4 km,Doctor,Marketing,High,Male,90 - 100 ($),High,Mid Level,Sales Executive,Medium,Married,7000 - 7999 ($),10000 - 11999 ($),0-1,No,13%,Excellent,Low,2%,6-10 years,3,Better,6-10 years,6-10 years,0-1 years,6-10 years
44 - 59 (Gen X),Stay,Travel_Rarely,1200 - 1299 ($),Sales,10-14 km,College,Life Sciences,Very High,Female,90 - 100 ($),High,Senior Level,Manager,Very High,Married,17000 - 17999 ($),4000 - 5999 ($),2-3,No,13%,Excellent,Medium,1%,20+ years,4,Best,6-10 years,2-5 years,0-1 years,0-1 years
44 - 59 (Gen X),Stay,Travel_Frequently,300 - 399 ($),Research & Development,20-24 km,Doctor,Medical,High,Male,80 - 89 ($),Low,Senior Level,Research Director,Very High,Single,14000 - 14999 ($),24000 - 25999 ($),0-1,Yes,13%,Excellent,Very High,0%,20+ years,2,Better,10++,6-10 years,10++,6-10 years
28 - 43 (Millennials),Stay,Travel_Frequently,1000 - 1099 ($),Research & Development,25-29 km ,Bachelor,Life Sciences,High,Female,80 - 89 ($),High,Mid Level,Manufacturing Director,Low,Married,10000 - 10999 ($),10000 - 11999 ($),4-5,No,11%,Excellent,High,1%,10-20 years,1,Better,6-10 years,6-10 years,0-1 years,0-1 years
28 - 43 (Millennials),Leave,Travel_Rarely,200 - 299 ($),Research & Development,25-29 km ,Master,Life Sciences,High,Female,40 - 49 ($),Medium,Entry Level,Laboratory Technician,Medium,Single,2000 - 2999 ($),14000 - 15999 ($),0-1,No,13%,Excellent,High,0%,6-10 years,3,Better,6-10 years,2-5 years,2-5 years,0-1 years
44 - 59 (Gen X),Stay,Travel_Rarely,300 - 399 ($),Research & Development,0-4 km,Master,Medical,Low,Female,80 - 89 ($),High,Senior Level,Research Director,High,Married,17000 - 17999 ($),26000 - 27999 ($),2-3,No,19%,Excellent,Medium,2%,20+ years,2,Best,10++,10++,2-5 years,6-10 years
44 - 59 (Gen X),Stay,Travel_Rarely,1400 - 1499 ($),Research & Development,10-14 km,College,Technical Degree,Very High,Female,80 - 89 ($),Medium,Senior Level,Manufacturing Director,Medium,Single,13000 - 13999 ($),24000 - 25999 ($),2-3,No,16%,Excellent,Medium,0%,20+ years,1,Good,2-5 years,2-5 years,0-1 years,2-5 years
44 - 59 (Gen X),Stay,Travel_Rarely,500 - 599 ($),Research & Development,5-9 km,College,Medical,Very High,Male,70 - 79 ($),High,Mid Level,Manufacturing Director,High,Divorced,10000 - 10999 ($),24000 - 25999 ($),4-5,No,13%,Excellent,Medium,1%,10-20 years,3,Better,6-10 years,6-10 years,0-1 years,6-10 years
44 - 59 (Gen X),Leave,Travel_Rarely,1300 - 1399 ($),Human Resources,0-4 km,College,Medical,Medium,Male,90 - 100 ($),Medium,Mid Level,Human Resources,Low,Married,10000 - 10999 ($),2000 - 3999 ($),4-5,No,14%,Excellent,Very High,1%,20+ years,1,Better,10++,6-10 years,2-5 years,6-10 years
28 - 43 (Millennials),Stay,Travel_Rarely,600 - 699 ($),Research & Development,0-4 km,Bachelor,Life Sciences,Very High,Female,80 - 89 ($),Medium,Senior Level,Research Director,Very High,Divorced,16000 - 16999 ($),2000 - 3999 ($),2-3,No,14%,Excellent,Medium,2%,6-10 years,2,Good,6-10 years,6-10 years,0-1 years,6-10 years
44 - 59 (Gen X),Stay,Travel_Rarely,500 - 599 ($),Sales,0-4 km,College,Marketing,Medium,Female,90 - 100 ($),High,Mid Level,Sales Executive,Low,Divorced,10000 - 10999 ($),2000 - 3999 ($),0-1,No,25%,Outstanding,High,3%,20+ years,2,Better,10++,10++,10++,6-10 years
44 - 59 (Gen X),Stay,Travel_Frequently,300 - 399 ($),Research & Development,0-4 km,Doctor,Medical,High,Male,80 - 89 ($),Medium,Senior Level,Manager,Very High,Married,15000 - 15999 ($),4000 - 5999 ($),2-3,No,25%,Outstanding,Medium,1%,20+ years,3,Better,2-5 years,2-5 years,2-5 years,2-5 years
28 - 43 (Millennials),Stay,Non-Travel,1100 - 1199 ($),Research & Development,5-9 km,College,Life Sciences,Very High,Male,70 - 79 ($),High,Junior Level,Healthcare Representative,Very High,Divorced,4000 - 4999 ($),8000 - 9999 ($),2-3,Yes,18%,Excellent,High,0%,6-10 years,2,Better,2-5 years,2-5 years,2-5 years,2-5 years
28 - 43 (Millennials),Leave,Travel_Rarely,300 - 399 ($),Sales,0-4 km,Bachelor,Medical,Medium,Female,40 - 49 ($),Medium,Entry Level,Sales Representative,High,Divorced,2000 - 2999 ($),22000 - 23999 ($),4-5,Yes,19%,Excellent,High,3%,20+ years,3,Better,2-5 years,2-5 years,0-1 years,2-5 years
28 - 43 (Millennials),Stay,Travel_Rarely,700 - 799 ($),Sales,0-4 km,College,Marketing,Very High,Female,40 - 49 ($),High,Junior Level,Sales Executive,Medium,Divorced,5000 - 5999 ($),22000 - 23999 ($),4-5,No,12%,Excellent,High,2%,6-10 years,5,Better,2-5 years,2-5 years,0-1 years,2-5 years
28 - 43 (Millennials),Leave,Travel_Frequently,300 - 399 ($),Sales,25-29 km ,Master,Marketing,High,Female,50 - 59 ($),Medium,Junior Level,Sales Executive,Low,Single,6000 - 6999 ($),22000 - 23999 ($),2-3,No,15%,Excellent,High,0%,6-10 years,5,Good,6-10 years,2-5 years,0-1 years,0-1 years
28 - 43 (Millennials),Stay,Travel_Rarely,900 - 999 ($),Research & Development,0-4 km,College,Life Sciences,Very High,Female,40 - 49 ($),Medium,Junior Level,Manufacturing Director,Very High,Married,6000 - 6999 ($),4000 - 5999 ($),4-5,Yes,13%,Excellent,Very High,1%,6-10 years,4,Better,2-5 years,2-5 years,0-1 years,2-5 years
28 - 43 (Millennials),Stay,Non-Travel,500 - 599 ($),Research & Development,0-4 km,Master,Other,Low,Female,60 - 69 ($),Medium,Junior Level,Healthcare Representative,High,Single,6000 - 6999 ($),2000 - 3999 ($),2-3,Yes,17%,Excellent,Low,0%,6-10 years,3,Better,6-10 years,6-10 years,0-1 years,6-10 years
28 - 43 (Millennials),Stay,Non-Travel,300 - 399 ($),Research & Development,20-24 km,College,Life Sciences,Very High,Male,30 - 39 ($),Medium,Junior Level,Research Scientist,High,Single,4000 - 4999 ($),14000 - 15999 ($),0-1,No,12%,Excellent,Very High,0%,10-20 years,2,Better,10++,6-10 years,2-5 years,6-10 years
28 - 43 (Millennials),Stay,Non-Travel,400 - 499 ($),Research & Development,0-4 km,Below College,Life Sciences,High,Male,30 - 39 ($),High,Senior Level,Manager,High,Married,17000 - 17999 ($),26000 - 27999 ($),0-1,Yes,13%,Excellent,Very High,0%,20+ years,3,Good,10++,6-10 years,2-5 years,6-10 years
12 - 27 (Gen Z),Stay,Travel_Rarely,600 - 699 ($),Sales,10-14 km,Below College,Medical,Medium,Male,40 - 49 ($),High,Entry Level,Sales Representative,High,Married,2000 - 2999 ($),26000 - 27999 ($),0-1,No,11%,Excellent,High,0%,6-10 years,1,Better,6-10 years,2-5 years,0-1 years,6-10 years
28 - 43 (Millennials),Leave,Travel_Frequently,500 - 599 ($),Research & Development,10-14 km,Bachelor,Life Sciences,Low,Male,50 - 59 ($),High,Entry Level,Research Scientist,High,Married,3000 - 3999 ($),16000 - 17999 ($),4-5,No,13%,Excellent,Low,1%,6-10 years,3,Good,2-5 years,2-5 years,0-1 years,2-5 years
28 - 43 (Millennials),Stay,Travel_Frequently,1400 - 1499 ($),Sales,0-4 km,Master,Life Sciences,Low,Male,90 - 100 ($),High,Junior Level,Sales Executive,Very High,Married,5000 - 5999 ($),18000 - 19999 ($),0-1,No,20%,Outstanding,High,1%,6-10 years,5,Better,6-10 years,6-10 years,6-10 years,6-10 years
12 - 27 (Gen Z),Leave,Travel_Rarely,400 - 499 ($),Research & Development,0-4 km,College,Life Sciences,Medium,Female,90 - 100 ($),Medium,Entry Level,Research Scientist,High,Married,2000 - 2999 ($),14000 - 15999 ($),0-1,Yes,13%,Excellent,High,1%,0-5 years,3,Good,0-1 years,0-1 years,0-1 years,0-1 years
28 - 43 (Millennials),Stay,Travel_Rarely,900 - 999 ($),Research & Development,0-4 km,Bachelor,Medical,High,Male,80 - 89 ($),High,Junior Level,Manufacturing Director,Medium,Married,4000 - 4999 ($),6000 - 7999 ($),2-3,No,11%,Excellent,Low,2%,6-10 years,2,Better,2-5 years,2-5 years,0-1 years,2-5 years
28 - 43 (Millennials),Leave,Travel_Rarely,1300 - 1399 ($),Sales,10-14 km,Master,Medical,Medium,Male,40 - 49 ($),High,Junior Level,Sales Executive,Low,Divorced,4000 - 4999 ($),10000 - 11999 ($),2-3,No,17%,Excellent,High,0%,6-10 years,2,Bad,2-5 years,0-1 years,0-1 years,2-5 years
12 - 27 (Gen Z),Stay,Travel_Rarely,100 - 199 ($),Research & Development,0-4 km,Bachelor,Life Sciences,Medium,Male,80 - 89 ($),Very High,Junior Level,Manufacturing Director,Medium,Married,6000 - 6999 ($),4000 - 5999 ($),0-1,Yes,20%,Outstanding,Medium,1%,6-10 years,0,Better,6-10 years,2-5 years,0-1 years,2-5 years
28 - 43 (Millennials),Stay,Travel_Rarely,400 - 499 ($),Research & Development,5-9 km,Bachelor,Medical,Very High,Male,90 - 100 ($),Medium,Junior Level,Manufacturing Director,Medium,Single,6000 - 6999 ($),10000 - 11999 ($),4-5,Yes,15%,Excellent,Very High,0%,6-10 years,3,Better,2-5 years,2-5 years,0-1 years,2-5 years
28 - 43 (Millennials),Stay,Travel_Rarely,400 - 499 ($),Research & Development,0-4 km,Master,Life Sciences,High,Female,50 - 59 ($),High,Junior Level,Manufacturing Director,Medium,Single,5000 - 5999 ($),2000 - 3999 ($),4-5,Yes,11%,Excellent,Very High,0%,10-20 years,2,Better,10++,10++,2-5 years,10++
28 - 43 (Millennials),Stay,Travel_Frequently,400 - 499 ($),Research & Development,10-14 km,Bachelor,Life Sciences,Low,Male,40 - 49 ($),Medium,Junior Level,Healthcare Representative,Low,Divorced,6000 - 6999 ($),4000 - 5999 ($),2-3,No,15%,Excellent,High,1%,10-20 years,3,Good,2-5 years,2-5 years,0-1 years,2-5 years
28 - 43 (Millennials),Stay,Travel_Rarely,1200 - 1299 ($),Research & Development,0-4 km,Master,Life Sciences,Very High,Female,40 - 49 ($),Very High,Entry Level,Research Scientist,High,Single,2000 - 2999 ($),12000 - 13999 ($),2-3,No,13%,Excellent,High,0%,6-10 years,0,Better,2-5 years,2-5 years,2-5 years,2-5 years
44 - 59 (Gen X),Stay,Non-Travel,1000 - 1099 ($),Sales,5-9 km,Master,Life Sciences,Medium,Female,60 - 69 ($),Medium,Junior Level,Sales Executive,High,Married,5000 - 5999 ($),16000 - 17999 ($),0-1,No,13%,Excellent,Very High,1%,10-20 years,2,Better,10++,6-10 years,2-5 years,10++
44 - 59 (Gen X),Stay,Travel_Frequently,200 - 299 ($),Sales,0-4 km,Bachelor,Medical,Very High,Female,40 - 49 ($),High,Senior Level,Sales Executive,High,Divorced,13000 - 13999 ($),10000 - 11999 ($),4-5,Yes,12%,Excellent,Very High,2%,20+ years,2,Good,10++,2-5 years,10++,10++
44 - 59 (Gen X),Stay,Travel_Rarely,700 - 799 ($),Research & Development,0-4 km,Master,Technical Degree,Very High,Female,90 - 100 ($),High,Executive Level,Manager,Low,Divorced,19000 - 19999 ($),18000 - 19999 ($),2-3,No,13%,Excellent,Very High,1%,20+ years,2,Better,2-5 years,2-5 years,2-5 years,2-5 years
28 - 43 (Millennials),Stay,Travel_Rarely,200 - 299 ($),Sales,0-4 km,Master,Medical,Medium,Male,60 - 69 ($),Medium,Entry Level,Sales Representative,Medium,Married,2000 - 2999 ($),18000 - 19999 ($),0-1,No,14%,Excellent,Medium,1%,0-5 years,2,Better,2-5 years,2-5 years,2-5 years,2-5 years
44 - 59 (Gen X),Stay,Non-Travel,1400 - 1499 ($),Human Resources,0-4 km,Master,Human Resources,High,Female,30 - 39 ($),Medium,Executive Level,Manager,Very High,Married,18000 - 18999 ($),20000 - 21999 ($),4-5,No,21%,Outstanding,Very High,1%,20+ years,3,Better,2-5 years,2-5 years,2-5 years,2-5 years
28 - 43 (Millennials),Leave,Travel_Rarely,600 - 699 ($),Research & Development,0-4 km,College,Life Sciences,Low,Female,60 - 69 ($),Low,Entry Level,Research Scientist,Medium,Single,2000 - 2999 ($),2000 - 3999 ($),4-5,Yes,13%,Excellent,Very High,0%,6-10 years,4,Better,6-10 years,6-10 years,2-5 years,6-10 years
44 - 59 (Gen X),Leave,Travel_Frequently,900 - 999 ($),Sales,0-4 km,Master,Other,Very High,Male,80 - 89 ($),High,Junior Level,Sales Executive,High,Single,4000 - 4999 ($),16000 - 17999 ($),2-3,Yes,14%,Excellent,Very High,0%,20+ years,4,Better,0-1 years,0-1 years,0-1 years,0-1 years
28 - 43 (Millennials),Stay,Travel_Rarely,900 - 999 ($),Research & Development,0-4 km,Bachelor,Medical,High,Female,50 - 59 ($),Medium,Junior Level,Manufacturing Director,Very High,Single,6000 - 6999 ($),20000 - 21999 ($),2-3,Yes,24%,Outstanding,Medium,0%,10-20 years,4,Good,0-1 years,0-1 years,0-1 years,0-1 years
28 - 43 (Millennials),Stay,Travel_Rarely,100 - 199 ($),Research & Development,5-9 km,College,Medical,Very High,Male,80 - 89 ($),Medium,Entry Level,Laboratory Technician,High,Single,2000 - 2999 ($),16000 - 17999 ($),0-1,No,13%,Excellent,Low,0%,6-10 years,5,Better,6-10 years,0-1 years,0-1 years,6-10 years
28 - 43 (Millennials),Stay,Travel_Rarely,900 - 999 ($),Sales,5-9 km,Bachelor,Medical,Medium,Male,80 - 89 ($),High,Entry Level,Sales Representative,Very High,Single,1000 - 1999 ($),16000 - 17999 ($),0-1,No,13%,Excellent,High,0%,0-5 years,3,Good,0-1 years,0-1 years,0-1 years,0-1 years
12 - 27 (Gen Z),Stay,Non-Travel,800 - 899 ($),Sales,5-9 km,College,Medical,Low,Male,30 - 39 ($),High,Entry Level,Sales Representative,Very High,Single,2000 - 2999 ($),2000 - 3999 ($),0-1,No,24%,Outstanding,High,0%,0-5 years,3,Good,2-5 years,2-5 years,2-5 years,2-5 years
28 - 43 (Millennials),Leave,Travel_Rarely,600 - 699 ($),Research & Development,10-14 km,Master,Other,High,Male,30 - 39 ($),Medium,Entry Level,Laboratory Technician,Medium,Divorced,3000 - 3999 ($),10000 - 11999 ($),0-1,Yes,24%,Outstanding,Very High,1%,20+ years,2,Bad,2-5 years,2-5 years,0-1 years,2-5 years
28 - 43 (Millennials),Stay,Travel_Rarely,1100 - 1199 ($),Research & Development,10-14 km,Master,Life Sciences,Very High,Female,40 - 49 ($),Very High,Entry Level,Laboratory Technician,High,Married,2000 - 2999 ($),22000 - 23999 ($),2-3,Yes,13%,Excellent,High,1%,6-10 years,3,Better,6-10 years,6-10 years,0-1 years,6-10 years
28 - 43 (Millennials),Stay,Travel_Rarely,100 - 199 ($),Sales,25-29 km ,Master,Marketing,Low,Female,90 - 100 ($),Medium,Junior Level,Sales Executive,Very High,Married,5000 - 5999 ($),12000 - 13999 ($),0-1,No,14%,Excellent,Low,2%,10-20 years,3,Better,10++,6-10 years,2-5 years,6-10 years
44 - 59 (Gen X),Stay,Travel_Rarely,800 - 899 ($),Research & Development,5-9 km,Bachelor,Medical,High,Male,80 - 89 ($),High,Senior Level,Healthcare Representative,Very High,Married,11000 - 11999 ($),20000 - 21999 ($),4-5,No,11%,Excellent,High,0%,20+ years,1,Good,6-10 years,6-10 years,0-1 years,0-1 years
44 - 59 (Gen X),Stay,Travel_Frequently,400 - 499 ($),Research & Development,0-4 km,College,Medical,High,Male,90 - 100 ($),High,Entry Level,Research Scientist,Medium,Divorced,2000 - 2999 ($),10000 - 11999 ($),0-1,Yes,12%,Excellent,High,3%,6-10 years,2,Good,2-5 years,2-5 years,2-5 years,2-5 years
44 - 59 (Gen X),Stay,Travel_Rarely,1400 - 1499 ($),Research & Development,15-19 km,College,Life Sciences,Very High,Male,50 - 59 ($),High,Executive Level,Research Director,Medium,Married,19000 - 19999 ($),10000 - 11999 ($),2-3,No,11%,Excellent,Low,1%,20+ years,2,Better,2-5 years,2-5 years,0-1 years,2-5 years
28 - 43 (Millennials),Stay,Travel_Rarely,900 - 999 ($),Research & Development,15-19 km,College,Medical,High,Male,90 - 100 ($),High,Junior Level,Laboratory Technician,Very High,Married,2000 - 2999 ($),16000 - 17999 ($),4-5,Yes,15%,Excellent,High,1%,10-20 years,2,Best,6-10 years,2-5 years,2-5 years,6-10 years
44 - 59 (Gen X),Stay,Travel_Rarely,900 - 999 ($),Human Resources,5-9 km,College,Medical,Medium,Male,80 - 89 ($),High,Junior Level,Human Resources,Medium,Divorced,5000 - 5999 ($),10000 - 11999 ($),4-5,Yes,22%,Outstanding,Very High,1%,10-20 years,2,Better,2-5 years,2-5 years,0-1 years,2-5 years
28 - 43 (Millennials),Stay,Travel_Rarely,700 - 799 ($),Sales,0-4 km,Master,Marketing,High,Male,30 - 39 ($),Medium,Junior Level,Sales Executive,Low,Single,4000 - 4999 ($),22000 - 23999 ($),0-1,No,14%,Excellent,Medium,0%,10-20 years,2,Better,10++,10++,2-5 years,6-10 years
28 - 43 (Millennials),Stay,Travel_Frequently,500 - 599 ($),Research & Development,5-9 km,Master,Medical,Medium,Female,80 - 89 ($),High,Mid Level,Research Director,High,Single,13000 - 13999 ($),12000 - 13999 ($),4-5,No,17%,Excellent,High,0%,10-20 years,3,Good,10++,6-10 years,2-5 years,10++
28 - 43 (Millennials),Stay,Non-Travel,400 - 499 ($),Research & Development,5-9 km,Bachelor,Life Sciences,Low,Female,60 - 69 ($),Very High,Mid Level,Research Director,Low,Married,11000 - 11999 ($),20000 - 21999 ($),4-5,No,14%,Excellent,Low,1%,6-10 years,2,Better,6-10 years,6-10 years,0-1 years,2-5 years
28 - 43 (Millennials),Stay,Travel_Rarely,900 - 999 ($),Research & Development,5-9 km,Bachelor,Medical,Low,Female,70 - 79 ($),Medium,Junior Level,Research Scientist,High,Single,4000 - 4999 ($),20000 - 21999 ($),0-1,Yes,14%,Excellent,Low,0%,10-20 years,3,Bad,10++,6-10 years,0-1 years,6-10 years
28 - 43 (Millennials),Stay,Travel_Frequently,400 - 499 ($),Sales,5-9 km,Bachelor,Marketing,Very High,Female,80 - 89 ($),High,Entry Level,Sales Representative,Medium,Divorced,2000 - 2999 ($),2000 - 3999 ($),0-1,No,11%,Excellent,High,1%,0-5 years,5,Good,2-5 years,2-5 years,2-5 years,2-5 years
28 - 43 (Millennials),Stay,Travel_Rarely,1000 - 1099 ($),Human Resources,10-14 km,Bachelor,Human Resources,High,Male,30 - 39 ($),High,Entry Level,Human Resources,Medium,Married,2000 - 2999 ($),24000 - 25999 ($),2-3,No,13%,Excellent,Medium,1%,6-10 years,2,Better,2-5 years,2-5 years,0-1 years,2-5 years
28 - 43 (Millennials),Stay,Travel_Rarely,300 - 399 ($),Research & Development,0-4 km,Bachelor,Technical Degree,High,Female,70 - 79 ($),Low,Mid Level,Manufacturing Director,Low,Divorced,10000 - 10999 ($),4000 - 5999 ($),2-3,Yes,21%,Outstanding,High,1%,10-20 years,2,Better,6-10 years,6-10 years,6-10 years,6-10 years
44 - 59 (Gen X),Stay,Travel_Rarely,900 - 999 ($),Sales,0-4 km,College,Technical Degree,Medium,Male,40 - 49 ($),Low,Junior Level,Sales Representative,High,Single,6000 - 6999 ($),12000 - 13999 ($),0-1,No,13%,Excellent,Low,0%,6-10 years,3,Better,6-10 years,6-10 years,2-5 years,0-1 years
12 - 27 (Gen Z),Stay,Non-Travel,1400 - 1499 ($),Research & Development,0-4 km,Bachelor,Medical,High,Male,70 - 79 ($),Medium,Entry Level,Research Scientist,High,Divorced,2000 - 2999 ($),24000 - 25999 ($),0-1,Yes,15%,Excellent,Very High,1%,0-5 years,2,Good,0-1 years,0-1 years,0-1 years,0-1 years
44 - 59 (Gen X),Stay,Travel_Rarely,600 - 699 ($),Research & Development,5-9 km,Bachelor,Life Sciences,Low,Male,50 - 59 ($),High,Executive Level,Research Director,High,Single,19000 - 19999 ($),6000 - 7999 ($),4-5,No,13%,Excellent,High,0%,20+ years,5,Better,10++,10++,10++,10++
44 - 59 (Gen X),Stay,Travel_Frequently,100 - 199 ($),Sales,0-4 km,Bachelor,Marketing,High,Female,30 - 39 ($),Medium,Mid Level,Sales Executive,Medium,Married,7000 - 7999 ($),22000 - 23999 ($),2-3,No,12%,Excellent,Low,1%,20+ years,2,Better,10++,6-10 years,6-10 years,10++
28 - 43 (Millennials),Leave,Travel_Frequently,500 - 599 ($),Research & Development,20-24 km,Bachelor,Life Sciences,Low,Male,60 - 69 ($),High,Mid Level,Healthcare Representative,High,Married,9000 - 9999 ($),22000 - 23999 ($),2-3,No,12%,Excellent,Low,0%,10-20 years,2,Better,0-1 years,0-1 years,0-1 years,0-1 years
28 - 43 (Millennials),Stay,Travel_Rarely,1300 - 1399 ($),Research & Development,25-29 km ,Below College,Medical,High,Female,50 - 59 ($),Medium,Entry Level,Research Scientist,Low,Single,2000 - 2999 ($),16000 - 17999 ($),0-1,No,11%,Excellent,Very High,0%,6-10 years,3,Good,6-10 years,2-5 years,0-1 years,0-1 years
12 - 27 (Gen Z),Stay,Travel_Rarely,1300 - 1399 ($),Research & Development,10-14 km,Below College,Life Sciences,Medium,Male,90 - 100 ($),High,Entry Level,Laboratory Technician,Low,Married,2000 - 2999 ($),6000 - 7999 ($),0-1,No,14%,Excellent,Medium,0%,6-10 years,3,Best,2-5 years,0-1 years,0-1 years,2-5 years
12 - 27 (Gen Z),Stay,Travel_Rarely,1400 - 1499 ($),Research & Development,0-4 km,College,Medical,Very High,Male,80 - 89 ($),High,Entry Level,Laboratory Technician,Medium,Divorced,3000 - 3999 ($),16000 - 17999 ($),0-1,No,11%,Excellent,Medium,1%,20+ years,2,Better,2-5 years,2-5 years,0-1 years,2-5 years
28 - 43 (Millennials),Stay,Travel_Rarely,400 - 499 ($),Research & Development,0-4 km,Master,Life Sciences,Very High,Male,80 - 89 ($),Medium,Junior Level,Manufacturing Director,Low,Married,5000 - 5999 ($),22000 - 23999 ($),4-5,No,13%,Excellent,Medium,1%,10-20 years,3,Better,10++,6-10 years,2-5 years,6-10 years
28 - 43 (Millennials),Stay,Travel_Frequently,500 - 599 ($),Research & Development,5-9 km,Master,Life Sciences,Low,Male,70 - 79 ($),Medium,Junior Level,Manufacturing Director,High,Married,5000 - 5999 ($),14000 - 15999 ($),2-3,No,11%,Excellent,Very High,1%,6-10 years,1,Better,6-10 years,2-5 years,6-10 years,6-10 years
12 - 27 (Gen Z),Stay,Travel_Rarely,1300 - 1399 ($),Sales,0-4 km,College,Other,Low,Female,30 - 39 ($),High,Junior Level,Sales Executive,High,Married,4000 - 4999 ($),16000 - 17999 ($),0-1,No,21%,Outstanding,Low,1%,0-5 years,2,Good,2-5 years,2-5 years,0-1 years,2-5 years
44 - 59 (Gen X),Stay,Travel_Rarely,100 - 199 ($),Research & Development,25-29 km ,Bachelor,Life Sciences,Very High,Male,30 - 39 ($),High,Senior Level,Research Director,Low,Married,16000 - 16999 ($),22000 - 23999 ($),2-3,No,13%,Excellent,High,1%,20+ years,1,Best,10++,6-10 years,10++,10++
28 - 43 (Millennials),Stay,Travel_Rarely,1200 - 1299 ($),Research & Development,15-19 km,College,Life Sciences,High,Male,60 - 69 ($),Medium,Senior Level,Research Director,High,Married,17000 - 17999 ($),2000 - 3999 ($),0-1,No,24%,Outstanding,Low,1%,10-20 years,3,Better,10++,6-10 years,6-10 years,10++
